targeting type,targeting value,date
age,18 and up,2023-08-06 00:00:00
list,exclude audience list20210218,2023-08-06 00:00:00
list,exclude audience list20210118,2023-08-06 00:00:00
list,exclude audience list,2023-08-06 00:00:00
interests,technology,2023-08-06 00:00:00
interests,books news and general info,2023-08-06 00:00:00
locations,turkey,2023-08-06 00:00:00
locations,turkey,2023-08-06 00:00:00
interests,music festivals and concerts,2023-08-06 00:00:00
interests,physics,2023-08-06 00:00:00
interests,romance,2023-08-06 00:00:00
locations,turkey,2023-08-06 00:00:00
keywords,art,2023-08-06 00:00:00
keywords,music,2023-08-06 00:00:00
age,13 and up,2023-08-06 00:00:00
locations,istanbul,2023-08-06 00:00:00
locations,turkey,2023-08-06 00:00:00
age,18 and up,2023-08-06 00:00:00
list,exclude audience list,2023-08-06 00:00:00
list,exclude audience list20210218,2023-08-06 00:00:00
list,exclude audience list20210118,2023-08-06 00:00:00
follower look-alikes,@cnnpolitics,2023-08-06 00:00:00
conversation topics,huawei,2023-08-06 00:00:00
interests,entertainment awards,2023-08-06 00:00:00
interests,technology,2023-08-06 00:00:00
interests,green solutions,2023-08-06 00:00:00
interests,government,2023-08-06 00:00:00
interests,tech news,2023-08-06 00:00:00
interests,animation,2023-08-06 00:00:00
interests,science news,2023-08-06 00:00:00
interests,weather,2023-08-06 00:00:00
interests,geography,2023-08-06 00:00:00
interests,space and astronomy,2023-08-06 00:00:00
interests,education news and general info,2023-08-06 00:00:00
interests,mystery and crime,2023-08-06 00:00:00
list,aiq_271882_0_1,2023-08-06 00:00:00
interests,comics,2023-08-06 00:00:00
keywords,money,2023-08-06 00:00:00
keywords,invest,2023-08-06 00:00:00
conversation topics,political news,2023-08-06 00:00:00
conversation topics,world news,2023-08-06 00:00:00
conversation topics,tech news,2023-08-06 00:00:00
conversation topics,business news,2023-08-06 00:00:00
conversation topics,business & finance,2023-08-06 00:00:00
locations,turkey,2023-08-06 00:00:00
locations,turkey,2023-08-06 00:00:00
languages,english,2023-08-06 00:00:00
age,18 and up,2023-08-06 00:00:00
conversation topics,political news,2023-08-06 00:00:00
conversation topics,world news,2023-08-06 00:00:00
conversation topics,tech news,2023-08-06 00:00:00
conversation topics,business news,2023-08-06 00:00:00
keywords,saving,2023-08-06 00:00:00
keywords,investing,2023-08-06 00:00:00
keywords,investing,2023-08-06 00:00:00
keywords,credit,2023-08-06 00:00:00
locations,turkey,2023-08-06 00:00:00
keywords,credit,2023-08-06 00:00:00
keywords,investing,2023-08-06 00:00:00
keywords,investing,2023-08-06 00:00:00
keywords,money,2023-08-06 00:00:00
keywords,invest,2023-08-06 00:00:00
keywords,saving,2023-08-06 00:00:00
conversation topics,business & finance,2023-08-06 00:00:00
conversation topics,political news,2023-08-06 00:00:00
conversation topics,tech news,2023-08-06 00:00:00
conversation topics,business news,2023-08-06 00:00:00
conversation topics,business & finance,2023-08-06 00:00:00
list,aiq_271882_0_1,2023-08-06 00:00:00
languages,english,2023-08-06 00:00:00
age,18 and up,2023-08-06 00:00:00
locations,turkey,2023-08-06 00:00:00
conversation topics,world news,2023-08-06 00:00:00
keywords,investing,2023-08-06 00:00:00
keywords,saving,2023-08-06 00:00:00
keywords,invest,2023-08-06 00:00:00
interests,freelance writing,2023-08-06 00:00:00
interests,animation,2023-08-06 00:00:00
interests,comedy,2023-08-06 00:00:00
interests,painting,2023-08-06 00:00:00
interests,photography,2023-08-06 00:00:00
interests,foreign,2023-08-06 00:00:00
interests,sci-fi and fantasy,2023-08-06 00:00:00
interests,drawing and sketching,2023-08-06 00:00:00
interests,independent,2023-08-06 00:00:00
interests,music,2023-08-06 00:00:00
